Pokemon Name,Entropy,Average Pokemon Remaining
Simipour,4.827461417930602,41.59481604073754
Basculin,4.812236093755213,42.03610683962288
Maractus,4.791428917206907,42.64676287885448
Alomomola,4.790245724704728,42.68175296742173
Stoutland,4.761371049101752,43.54460860919788
Beheeyem,4.75548274461072,43.722697443725124
Dewott,4.748453452632572,43.93624884978862
Lumineon,4.74617777028577,44.00560782157566
Watchog,4.722361849281671,44.738078848468206
Reuniclus,4.716213430742488,44.929148614992826
Musharna,4.711733221462623,45.06889045729301
Lilligant,4.710949953509417,45.09336590160329
Buizel,4.694236091434774,45.61881789529406
Simisage,4.688874040190178,45.78868440671145
Audino,4.6848997109851185,45.914996751809525
Furfrou,4.681689547089092,46.01727669836132
Munna,4.679246944603404,46.095253760643814
Darumaka,4.677520176334661,46.15045841068232
Ambipom,4.676234689111017,46.191598264512464
Simisear,4.6685702312637325,46.4376486314827
Purugly,4.66127559627918,46.67304386353997
Trubbish,4.657014597444966,46.811096435976324
Servine,4.65140346692916,46.99351518712562
Floatzel,4.64187855684152,47.30480055613476
Leafeon,4.641758244812758,47.3087456544971
Klang,4.63296208954364,47.59806961884458
Panpour,4.63147324225304,47.647215719862
Mega Alakazam,4.629182215117046,47.72294051400982
Eelektrik,4.624121792105489,47.890628276820394
Quilladin,4.623200099527536,47.92123387145939
Prinplup,4.615319144264573,48.183727675624354
Fraxure,4.607069070551619,48.460056403169595
Herdier,4.606492217055205,48.47943675842171
Carnivine,4.605522597236314,48.5120302180366
Lopunny,4.605422454570925,48.51539772987081
Loudred,4.593664479491068,48.91241422042541
Gothorita,4.58688758690023,49.14271509435477
Gurdurr,4.583777588068359,49.24876566743694
Porygon-Z,4.582139435515524,49.3047184570728
Gothitelle,4.5757004179575596,49.525266436227994
Happiny,4.573299432661847,49.607756799550394
Skiddo,4.55795342433579,50.138253065856134
Tsareena,4.557434356380412,50.15629557805139
Klinklang,4.557287196851322,50.1614119422749
Kecleon,4.5530177011873345,50.31007894030621
Mega Mewtwo Y,4.552275647596623,50.33596270396719
Munchlax,4.55066327955119,50.39225004467381
Samurott,4.548225809834192,50.47746098688542
Clawitzer,4.540504425751996,50.748343407247965
Duosion,4.5397118633939515,50.77623029644833
Grotle,4.536088059601215,50.90393183870676
Blitzle,4.529817850764085,51.125650831893616
Accelgor,4.525433701508334,51.28125086642438
Pansage,4.519518884486146,51.491927300091376
Spoink,4.518299626598996,51.53546281763204
Braixen,4.517410300232609,51.56724082590602
Hippopotas,4.5151834279318805,51.64689891603802
Huntail,4.513673073691474,51.70099625228173
Snivy,4.5118331210912235,51.76697559394472
Linoone,4.506545895402363,51.95704059506971
Liepard,4.502958230578384,52.08640709821595
Kricketune,4.492979067859737,52.44793918312372
Mega Banette,4.48934381321306,52.58026238551583
Bidoof,4.488172173144279,52.62298116018265
Grumpig,4.485450808497547,52.7223378966549
Frogadier,4.4823174179437375,52.83697002573156
Mienfoo,4.4821323250865985,52.843749263788304
Throh,4.481737800324298,52.85820208846369
Mega Absol,4.481455209282378,52.86855681833246
Brionne,4.480359692691991,52.90871802725975
Heatmor,4.477850804953418,53.00080784401261
Delcatty,4.474469362233853,53.12517882003535
Sawk,4.46994149671771,53.29217289986545
Gorebyss,4.469650697080863,53.302915923212716
